State ,Location,Shell Length,Shell Width,Aperture Length,Weight,Condition,Infection status,Combo,Individual,Trial,Baseline,Water,Refuge
NC,AB,18.63,13.59,5.97,1.61,none,1,2,26,1,0.01,0.1,9
NC,AB,18.63,13.59,5.97,1.61,none,1,2,26,2,0.01,0.1,9
NC,AB,18.63,13.59,5.97,1.61,none,1,2,26,3,8,6,0.1
NC,AB,20.6,14.79,6.82,2.07,none,0,1,27,3,0.01,0.1,0.1
NC,AB,20.6,14.79,6.82,2.07,none,0,1,27,2,0.01,0.1,6
NC,AB,20.6,14.79,6.82,2.07,none,0,1,27,1,0.01,0.1,9
NC,AB,19.3,13.76,6.25,1.52,none,0,1,28,2,0.01,0.1,0.1
NC,AB,19.3,13.76,6.25,1.52,none,0,1,28,1,0.01,0.1,4
NC,AB,19.3,13.76,6.25,1.52,none,0,1,28,3,24,9,0.1
NC,AB,18.9,13.4,5.52,1.6,none,0,1,29,2,0.01,0.1,0.1
NC,AB,18.9,13.4,5.52,1.6,none,0,1,29,1,0.01,0.1,4
NC,AB,18.9,13.4,5.52,1.6,none,0,1,29,3,25,9,0.1
NC,AB,21.01,13.8,6.1,2.08,none,0,1,30,2,0.01,0.1,0.1
NC,AB,21.01,13.8,6.1,2.08,none,0,1,30,1,0.01,0.1,9
NC,AB,21.01,13.8,6.1,2.08,none,0,1,30,3,10,9,0.1
NC,AB,19.34,13.48,6.18,1.66,none,0,0,31,3,0.01,0.1,9
NC,AB,19.34,13.48,6.18,1.66,none,0,0,31,2,17,9,9
NC,AB,19.34,13.48,6.18,1.66,none,0,0,31,1,19,8,8
NC,AB,18.46,12.62,5.53,1.35,none,0,0,32,3,0.01,0.1,9
NC,AB,18.46,12.62,5.53,1.35,none,0,0,32,1,24,9,0.1
NC,AB,18.46,12.62,5.53,1.35,none,0,0,32,2,24,9,9
NC,AB,18.85,13.07,5.7,1.57,none,0,0,33,2,0.01,0.1,0.1
NC,AB,18.85,13.07,5.7,1.57,none,0,0,33,3,0.01,0.1,0.1
NC,AB,18.85,13.07,5.7,1.57,none,0,0,33,1,0.01,0.1,8
NC,AB,18.51,12.96,6.07,1.55,none,0,0,34,1,0.01,0.1,2
NC,AB,18.51,12.96,6.07,1.55,none,0,0,34,2,15,6,9
NC,AB,18.51,12.96,6.07,1.55,none,0,0,34,3,18,9,0.1
NC,AB,18.13,12.84,5.35,1.44,none,0,0,35,3,0.01,0.1,0.1
NC,AB,18.13,12.84,5.35,1.44,none,0,0,35,2,10,6,9
NC,AB,18.13,12.84,5.35,1.44,none,0,0,35,1,25,9,0.1
NC,AB,17.27,12.68,5.21,1.42,none,0,0,36,2,0.01,0.1,9
NC,AB,17.27,12.68,5.21,1.42,none,0,0,36,1,24,9,9
NC,AB,17.27,12.68,5.21,1.42,none,0,0,36,3,25,9,0.1
NC,AB,20.07,13.77,6.11,1.9,none,0,0,37,2,0.01,0.1,0.1
NC,AB,20.07,13.77,6.11,1.9,none,0,0,37,3,0.01,0.1,0.1
NC,AB,20.07,13.77,6.11,1.9,none,0,0,37,1,19,8,9
NC,AB,20.69,14.2,6.4,1.78,none,0,0,38,3,0.01,0.1,0.1
NC,AB,20.69,14.2,6.4,1.78,none,0,0,38,2,16,9,9
NC,AB,20.69,14.2,6.4,1.78,none,0,0,38,1,18,6,9
NC,AB,19.48,13.76,6.11,1.6,none,0,0,39,1,0.01,0.1,9
NC,AB,19.48,13.76,6.11,1.6,none,0,0,39,2,0.01,0.1,9
